Date,"Pandas (software)"
2018-12-20,362
2018-12-21,298
2018-12-22,175
2018-12-23,208
2018-12-24,225
2018-12-25,206
2018-12-26,241
2018-12-27,308
2018-12-28,297
2018-12-29,208
2018-12-30,197
2018-12-31,218
2019-01-01,234
2019-01-02,452
2019-01-03,378
2019-01-04,384
2019-01-05,233
2019-01-06,240
2019-01-07,379
2019-01-08,446
2019-01-09,462
2019-01-10,408
2019-01-11,379
2019-01-12,266
2019-01-13,245
2019-01-14,435
2019-01-15,469
2019-01-16,489
2019-01-17,458
2019-01-18,392
2019-01-19,241
2019-01-20,256
2019-01-21,392
2019-01-22,490
2019-01-23,464
2019-01-24,510
2019-01-25,404
2019-01-26,269
2019-01-27,289
2019-01-28,455
2019-01-29,510
2019-01-30,437
2019-01-31,540
2019-02-01,434
2019-02-02,253
2019-02-03,311
2019-02-04,480
2019-02-05,497
2019-02-06,525
2019-02-07,501
2019-02-08,450
2019-02-09,298
2019-02-10,277
2019-02-11,553
2019-02-12,503
2019-02-13,523
2019-02-14,476
2019-02-15,395
2019-02-16,286
2019-02-17,259
2019-02-18,417
2019-02-19,476
2019-02-20,503
2019-02-21,520
2019-02-22,441
2019-02-23,319
2019-02-24,313
2019-02-25,493
2019-02-26,494
2019-02-27,523
2019-02-28,523
2019-03-01,458
2019-03-02,285
2019-03-03,355
2019-03-04,469
2019-03-05,555
2019-03-06,519
2019-03-07,515
2019-03-08,442
2019-03-09,290
2019-03-10,344
2019-03-11,478
2019-03-12,508
2019-03-13,531
2019-03-14,458
2019-03-15,395
2019-03-16,276
2019-03-17,283
2019-03-18,523
2019-03-19,514
2019-03-20,523
2019-03-21,460
2019-03-22,459
2019-03-23,279
2019-03-24,285
2019-03-25,536
2019-03-26,516
2019-03-27,533
2019-03-28,568
2019-03-29,473
2019-03-30,408
2019-03-31,260
2019-04-01,486
2019-04-02,631
2019-04-03,520
2019-04-04,464
2019-04-05,450
2019-04-06,289
2019-04-07,295
2019-04-08,552
2019-04-09,564
2019-04-10,555
2019-04-11,543
2019-04-12,443
2019-04-13,274
2019-04-14,310
2019-04-15,491
2019-04-16,490
2019-04-17,425
2019-04-18,478
2019-04-19,352
2019-04-20,235
2019-04-21,248
2019-04-22,409
2019-04-23,432
2019-04-24,473
2019-04-25,477
2019-04-26,386
2019-04-27,269
2019-04-28,311
2019-04-29,436
2019-04-30,472
2019-05-01,396
2019-05-02,425
2019-05-03,431
2019-05-04,275
2019-05-05,299
2019-05-06,427
2019-05-07,454
2019-05-08,490
2019-05-09,475
2019-05-10,417
2019-05-11,280
2019-05-12,231
2019-05-13,463
2019-05-14,487
2019-05-15,456
2019-05-16,538
2019-05-17,394
2019-05-18,280
2019-05-19,289
2019-05-20,509
2019-05-21,511
2019-05-22,479
2019-05-23,448
